iter	Logloss
0	0.5824435051
1	0.5358081353
2	0.5079793512
3	0.4835889712
4	0.4717458717
5	0.4609779253
6	0.4507444185
7	0.4445552825
8	0.4401808267
9	0.4360048118
10	0.4332245457
11	0.4314773504
12	0.4300910726
13	0.4272637198
14	0.4265305308
15	0.4247986586
16	0.4236393134
17	0.4225667648
18	0.4215254786
19	0.4199925651
20	0.4194658324
21	0.4189972896
22	0.4183090187
23	0.4177078126
24	0.4172293643
25	0.416960823
26	0.4165224995
27	0.4162828537
28	0.4160314594
29	0.4156421764
30	0.4150939109
31	0.414526502
32	0.4141335299
33	0.413985688
34	0.4137250168
35	0.413515342
36	0.4132760824
37	0.4124941294
38	0.4122149089
39	0.411827654
40	0.4112676149
41	0.4107654636
42	0.4100222807
43	0.409920007
44	0.4096604879
45	0.4094364962
46	0.4091210332
47	0.4089712741
48	0.408876443
49	0.4086306458
50	0.4082267304
