iter	Passed	Remaining
0	4	4196
1	7	3643
2	10	3435
3	13	3417
4	17	3402
5	20	3363
6	23	3356
7	26	3329
8	30	3309
9	33	3280
10	36	3247
11	39	3222
12	42	3193
13	45	3193
14	48	3175
15	51	3193
16	54	3171
17	57	3154
18	60	3147
19	64	3141
20	67	3124
21	69	3110
22	72	3100
23	76	3099
24	79	3087
25	82	3078
26	85	3082
27	88	3074
28	91	3067
29	94	3060
30	97	3052
31	100	3042
32	103	3032
33	106	3023
34	109	3013
35	112	3003
36	115	2995
37	118	3000
38	121	2991
39	124	2986
40	127	2982
41	130	2975
42	133	2969
43	136	2961
44	139	2954
45	142	2949
46	145	2946
47	148	2939
48	151	2932
49	154	2930
50	157	2928
