iter	RMSE
0	66434.56279
1	58352.87174
2	52765.67569
3	47769.34274
4	44382.70454
5	41481.67598
6	39622.52736
7	37993.66204
8	36884.92971
9	36202.49979
10	35197.76596
11	34099.53808
12	33453.8683
13	32878.60555
14	32541.34476
15	32359.98973
16	32158.47012
17	31762.07805
18	31548.32774
19	31311.0081
20	31278.94553
21	30974.24002
22	30862.97157
23	30529.12599
24	30311.29775
25	29959.26539
26	29780.29831
27	29621.855
28	29450.26654
29	29385.26635
30	29326.95889
31	29216.21616
32	29186.317
33	29108.86557
34	28968.72508
35	28884.64892
36	28816.73743
37	28682.95343
38	28482.42907
39	28441.3788
40	28439.22238
41	28366.54141
42	28221.13955
43	28008.35299
44	27971.8668
45	27879.32452
