iter	Passed	Remaining
0	158	158441
1	163	81444
2	167	55501
3	169	42253
4	172	34307
5	175	29006
6	177	25217
7	180	22378
8	183	20153
9	185	18328
10	186	16767
11	187	15456
12	188	14348
13	190	13392
14	191	12563
15	192	11834
16	193	11194
17	194	10624
18	195	10111
19	197	9654
20	198	9237
21	199	8861
22	200	8516
23	201	8201
24	202	7905
25	203	7638
26	205	7391
27	206	7161
28	207	6945
29	208	6736
30	209	6542
31	210	6365
32	211	6194
33	212	6033
34	213	5883
35	214	5738
36	215	5603
37	216	5473
38	217	5352
39	218	5234
40	218	5121
41	219	5018
42	221	4919
43	222	4825
44	222	4732
45	223	4643
